,product_id,quantity,gmv,item_price
0,P0002,1,904000,904000
1,P0003,32,14400000,450000
2,P0011,2,11890000,5945000
3,P0029,12,3720000,310000
4,P0030,30,7200000,240000
5,P0033,1,740000,740000
6,P0035,1,590000,590000
7,P0036,64,15360000,240000
8,P0037,76,18240000,240000
9,P0047,21,54495000,2795000
10,P0055,3,1560000,520000
11,P0057,12,5400000,450000
12,P0061,2,6288000,3144000
13,P0063,16,16720000,1045000
14,P0068,20,5780000,289000
15,P0070,3,1350000,450000
16,P0071,2,1390000,695000
17,P0072,2,10490000,5245000
18,P0077,26,11700000,450000
19,P0085,2,900000,450000
20,P0087,5,2250000,450000
21,P0092,6,2700000,450000
22,P0098,1,1325000,1325000
23,P0099,12,5400000,450000
24,P0102,5,2250000,450000
25,P0105,4,2080000,520000
26,P0106,18,8100000,450000
27,P0116,4,2988000,747000
28,P0118,14,4242000,303000
29,P0119,5,1515000,303000
30,P0121,2,1180000,590000
31,P0122,62,43090000,695000
32,P0124,47,11280000,240000
33,P0125,1,205000,205000
34,P0126,74,15170000,205000
35,P0128,1,205000,205000
36,P0132,6,1230000,205000
37,P0136,12,1908000,159000
38,P0141,3,930000,310000
39,P0144,3,435000,145000
40,P0155,2,3490000,1745000
41,P0162,13,20913000,1500000
42,P0163,3,4500000,1500000
43,P0166,8,10600000,1325000
44,P0167,18,23850000,1325000
45,P0170,1,1325000,1325000
46,P0171,5,6625000,1325000
47,P0174,1,450000,450000
48,P0176,32,28288000,884000
49,P0207,10,17450000,1745000
50,P0219,1,1045000,1045000
51,P0223,1,5839000,5839000
52,P0230,8,24704000,3276000
53,P0232,66,29700000,450000
54,P0233,3,1350000,450000
55,P0235,2,2650000,1325000
56,P0237,1,450000,450000
57,P0241,1,747000,747000
58,P0251,9,1431000,159000
59,P0255,258,142392000,604000
60,P0257,12,5400000,450000
61,P0258,2,5590000,2795000
62,P0269,144,12384000,86000
63,P0272,1,159000,159000
64,P0274,3,720000,240000
65,P0276,1,79000,79000
66,P0277,2,900000,450000
67,P0280,72,27576000,383000
68,P0282,24,2712000,113000
69,P0629,2,3490000,1745000
70,P0643,2,1746000,873000
71,P0644,2,2090000,1045000
72,P0649,3,1812000,604000
73,P0652,12,7080000,590000
74,P0660,18,1422000,79000
75,P0668,12,1908000,159000
76,P0671,24,3816000,159000
77,P0673,12,1908000,159000
78,P0674,17,3423000,231000
79,P0676,2,3063000,1531500
80,P0678,4,5860000,1465000
81,P0680,48,7632000,159000
82,P0681,12,1908000,159000
83,P0687,5,13115000,2623000
84,P0703,1,1045000,1045000
85,P0708,4,596000,149000
86,P0709,36,5364000,149000
87,P0711,12,6240000,520000
88,P0714,28,5712000,534000
89,P0723,5,5225000,1045000
90,P0733,21,6510000,310000
91,P0734,2,620000,310000
92,P0735,20,6200000,310000
93,P0736,1,583000,583000
94,P0737,12,3720000,310000
95,P0740,1,1325000,1325000
96,P0748,5,1515000,303000
97,P0753,25,37500000,1500000
98,P0754,8,5976000,747000
99,P0758,2,1390000,695000
100,P0760,3,4395000,1465000
101,P0761,1,1465000,1465000
102,P0763,9,13185000,1465000
103,P0765,2,2930000,1465000
104,P0770,11,8140000,740000
105,P0772,1,3494000,3494000
106,P0784,76,133740000,1885000
107,P0789,11,4950000,450000
108,P0790,1,1164000,1164000
109,P0791,13,22685000,1745000
110,P0792,23,25002000,1102500
111,P0793,24,1896000,79000
112,P0794,12,1908000,159000
113,P0797,59,47628000,747000
114,P0798,16,11952000,747000
115,P0799,22,11440000,520000
116,P0803,12,3720000,310000
117,P0807,25,4929000,149000
118,P0811,2,3490000,1745000
