,Unnamed: 0,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.0014184397163120568,1.5631222635861488e-05,1.0,1.0,0.0,0.0,Feb,1,1,1,1,Returning_Visitor,False,False
1,1,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.0028368794326241137,0.0010160294713309967,0.0,0.5,0.0,0.0,Feb,2,2,1,2,Returning_Visitor,False,False
2,2,0.0,0.0,0.0,0.0,0.0014184397163120568,0.0,1.0,1.0,0.0,0.0,Feb,4,1,9,3,Returning_Visitor,False,False
3,3,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.0028368794326241137,5.7314483003369194e-05,0.25,0.7000000000000001,0.0,0.0,Feb,3,2,2,4,Returning_Visitor,False,False
4,4,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.014184397163120569,0.009824223426638945,0.1,0.25,0.0,0.0,Feb,3,3,1,4,Returning_Visitor,True,False
5,5,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.02695035460992908,0.002426226273984008,0.07894736999999999,0.12280701999999999,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
6,6,0.0,0.0,0.0,0.0,0.0014184397163120568,0.0,1.0,1.0,0.0,0.4,Feb,2,4,3,3,Returning_Visitor,False,False
7,7,0.037037037037037035,0.0,0.0,0.0,0.0014184397163120568,0.0,1.0,1.0,0.0,0.0,Feb,1,2,1,5,Returning_Visitor,True,False
8,8,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.0028368794326241137,0.0005939864601627365,0.0,0.5,0.0,0.8,Feb,2,2,2,3,Returning_Visitor,False,False
9,9,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.00425531914893617,0.01155147352790164,0.0,0.11111111000000001,0.0,0.4,Feb,2,4,1,2,Returning_Visitor,False,False
10,10,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.00425531914893617,0.006189964163801149,0.0,0.333333335,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,False,False
11,11,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.02269503546099291,0.006389262252408383,0.09375,0.129166665,0.0,0.4,Feb,1,1,4,3,Returning_Visitor,False,False
12,12,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.009929078014184398,0.004400189171995009,0.0,0.142857145,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
13,13,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.00851063829787234,0.0015474910409502872,0.0,0.333333335,0.0,0.0,Feb,2,5,1,3,Returning_Visitor,False,False
14,14,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.0028368794326241137,0.0010785543618744425,0.0,0.5,0.0,0.0,Feb,3,2,3,3,Returning_Visitor,False,False
15,15,0.07407407407407407,0.01588352084712111,0.0,0.00039209920109787774,0.03262411347517731,0.026092967337819538,0.041666665,0.08156318000000001,0.0,0.0,Feb,1,1,9,3,Returning_Visitor,False,False
16,16,0.0,0.0,0.0,0.0,0.0014184397163120568,0.0,1.0,1.0,0.0,0.0,Feb,1,1,4,3,Returning_Visitor,False,False
17,17,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.01843971631205674,0.005251569765415972,0.0,0.03846154,0.0,0.0,Feb,1,1,1,4,Returning_Visitor,True,False
18,18,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.0028368794326241137,0.0005158303469834291,0.0,0.5,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
19,19,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.028368794326241138,0.04661491110912201,0.0,0.05,0.0,0.0,Feb,2,4,4,4,Returning_Visitor,False,False
20,20,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.011347517730496455,0.0021440827054067077,0.0,0.041666665,0.0,1.0,Feb,2,2,5,1,Returning_Visitor,True,False
